SP_ENTITY_NAME,SP_ENTITY_ID,SP_COMPANY_NAME,SP_COMPANY_STATUS,SP_COMPANY_TYPE,SPONSOR_BACKED_INFO,reprisk_id,company_name_reprisk,sectors,no_reported_risk_exposure
Hudson Structured Capital Management Ltd.,4669071,Hudson Structured Capital Management Ltd.,Operating Subsidiary,Private Company,Pending or Current Sponsor-Backed [Eldridge Industries LLC],615371,Hudson Structured Capital Management Ltd,Financial Services,True
Hudson Valley Holding Corp. (NYSE:HVB),1016867,Hudson Valley Holding Corp.,Acquired,Private Company,"Prior Sponsor-Backed [Basswood Capital Management, L.L.C.]",39456,Hudson Valley Holding Corp,Banks,True
"Hughes Communications, Inc. (NASDAQGM:HUGH)",4137337,"Hughes Communications, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Solus Alternative Asset Management LP;Apollo Global Management, Inc. (NYSE:APO) (NYSE : APO)]",10676,Hughes Communications Inc,Telecommunications,False
"Human Interest, Inc.",4617405,"Human Interest, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Glynn Capital Management, LLC;BlackRock, Inc. (NYSE:BLK) (NYSE : BLK);CrossLink Capital, Inc.;SV Angel;Great Oaks Venture Capital LLC;Oberndorf Enterprises LLC;FundersClub Inc.;Alumni Ventures Group, LLC;Liquid 2 Venture LLC;Better Tomorrow Ventures;Spur Capital Partners, LLC;TPG Capital, L.P.;Cendana Capital Management, LLC;Marshall Wace LLP;Susa Ventures Management, LLC;Tuesday Capital;Soma Capital Management, LLC;Quiet Capital Management LLC;Baillie Gifford & Co.;Canada Pension Plan Investment Board;TPG Growth, LLC;Y Combinator Management, LLC;USVP Management Company, LLC;Slow Ventures LLC;Uncork Capital, Inc.;Toba Capital;Wing Venture Management, LLC;NewView Capital Management, LLC;Aito Capital]",2246913,Human Interest Inc.,Support Services (Industrial Goods and Services),True
"Humedica, Inc.",4370352,"Humedica, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [The West Health Investment Fund;Bain Capital Ventures,LP;General Catalyst Group Management, LLC;North Bridge Venture Partners;Flare Capital Partners]",1327979,Humedica INC,Health Care Equipment and Services,True
Hunch Inc.,4307420,Hunch Inc.,Acquired,Private Company,"Prior Sponsor-Backed [General Catalyst Group Management, LLC;SV Angel;Khosla Ventures, LLC;Founder Collective Management Co, LLC;Baseline Ventures Associates, LLC;Bessemer Venture Partners]",1470909,Hunch INC,Software and Computer Services,True
"Hunter Ridge Holdings, Inc.",4103034,"Hunter Ridge Holdings, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [WL Ross & Co. LLC;First Reserve Management, L.P.]",119804,Hunter Ridge Holdings Inc,Mining,False
Huron Consulting Group Inc. (NASDAQGS:HURN),4158666,Huron Consulting Group Inc.,Operating,Public Company,"Prior Sponsor-Backed [PPM America Capital Partners, LLC;Lake Capital Management LLC]",9901,Huron Consulting Group Inc,Support Services (Industrial Goods and Services),False
"HUTN, Inc. (OTCEM:HUTN)",4849221,"HUTN, Inc.",Operating,Public Company,Never Sponsor-Backed,2350238,Hutn Inc,Software and Computer Services | Financial Services,True
"HV Bancorp, Inc. (NASDAQCM:HVBC)",4423690,"HV Bancorp, Inc.",Acquired,Public Company,Prior Sponsor-Backed [AllianceBernstein L.P.;Huntingdon Valley Bank Employee Stock Ownership Plan Trust],347645,HV Bancorp Inc,Financial Services,True
"Hylant Group, Inc.",4076902,"Hylant Group, Inc.",Operating,Private Company,Never Sponsor-Backed,2587604,Hylant Group Inc,Insurance | Financial Services,True
"HyperFeed Technologies, Inc. (OTCPK:PQT)",4090367,"HyperFeed Technologies, Inc.",Out of Business,Private Company,Prior Sponsor-Backed [Wexford Capital LP],50386,Hyperfeed Technologies Inc,Software and Computer Services,True
"Hyperpublic, Inc.",4314109,"Hyperpublic, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [NextView Ventures;Thrive Capital Management, LLC;RRE Ventures LLC;Lerer Hippeau Ventures Management, LLC;Hudson River Angels;SoftBank Capital;SV Angel;FJ Labs, Inc.]",1469904,Hyperpublic Inc.,Software and Computer Services,True
"HyperQuest, Inc.",4375687,"HyperQuest, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Pritzker Group;Pritzker Group Venture Capital],1290719,Hyperquest INC,Financial Services,True
"Hypgen, Inc. (OTCPK:MGBR)",4145557,"Hypgen, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [GHS Investments, LLC]",2382248,HypGen Inc,Pharmaceuticals and Biotechnology,True
"Hy-Vee, Inc.",1021011,"Hy-Vee, Inc.",Operating,Private Company,Never Sponsor-Backed,19471,Hy-Vee Inc,Retail,False
"i3 Verticals, Inc. (NASDAQGS:IIIV)",10544137,"i3 Verticals, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Franklin Advisers, Inc.;Calamos Advisors LLC;Capital Alignment Partners;Harbert Credit Solutions;D.E. Shaw Investment Management, L.L.C.;T. Rowe Price Associates, Inc.]",491219,i3 Verticals Inc,Software and Computer Services | Financial Services,True
IAC Inc. (NASDAQGS:IAC),19880854,IAC Inc.,Operating,Public Company,Never Sponsor-Backed,2584368,IAC Inc,Financial Services,False
"iArchives, Inc.",4271811,"iArchives, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [ECentury Capital Partners]

Prior Sponsor-Backed [Century Capital Management, LLC;Canopy Group;InnoVentures Capital Partners, LLC;Signal Peak Ventures]",1276949,Iarchives INC,Software and Computer Services,True
"IB3 Networks, Inc. (OTCPK:IBNW)",4221573,"IB3 Networks, Inc.",Operating,Private Company,Never Sponsor-Backed,57796,IB3 Networks Inc,Software and Computer Services,True
iBasis Inc. (OTCBB:IBAS),4121439,iBasis Inc.,Acquired,Public Company,"Prior Sponsor-Backed [Symphony Asset Management LLC;Kingdon Capital Management, L.L.C.;Summit Partners, L.P.;J.P. Morgan Partners, LLC;IBS Capital LLC;Bain Capital Ventures,LP;Bayview Investors;Loeb Investors Co.;TCMI Inc.;Lampe, Conway & Co. LLC;Fairfield Greenwich Advisors, LLC;Greywolf Capital Management LP;Millennium Management LLC;Schottenfeld Qualified Associates LP;The Phoenix Partners;Pacific Assets Management LLC;New Generation Advisors, LLC;CrossLink Capital, Inc.;Integral Capital Partners;Seruus Ventures, L.L.C.;JMG Capital Management LLC;JGD Management Corp.;Charles River Ventures, Inc.;Menlo Ventures Management, L.P.]",86015,iBasis Inc,Telecommunications,False
"iBroadband, Inc. (OTCPK:IBBD)",4211321,"iBroadband, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Laurus Capital Management, LLC;Professional Traders Management, LLC]",99134,iBroadband Inc,Software and Computer Services,True
"IBT Media, Inc.",4402943,"IBT Media, Inc.",Operating,Private Company,Never Sponsor-Backed,1821847,IBT Media INC,Media,True
"ICC Holdings, Inc. (NASDAQCM:ICCH)",4834672,"ICC Holdings, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Tuscarora Wayne Insurance Company;Stilwell Value LLC],974518,ICC Holdings Inc,Insurance,True
"ICE Mortgage Technology, Inc. (NYSE:ELLI)",4257872,"ICE Mortgage Technology, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [RS Investment Management Co. LLC;H&Q Asia Pacific, Ltd.;W Capital Management, LLC;Charter Venture Capital;Plug and Play, LLC;Hotung Venture Group;T. Rowe Price Associates, Inc.;Osprey Ventures, L.P.;Windspeed Ventures;Amidzad Partners;Alta Partners LP;Alloy Ventures, Inc.;GKM Ventures;TVC Capital;Thoma Bravo, L.P.;Industry Ventures, L.L.C.]",2605827,ICE Mortgage Technology Inc,Software and Computer Services,True
"ICG Communications, Inc. (NASDAQGM:ICGC)",4057191,"ICG Communications, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Eastward Capital Partners, LLC.;HM Capital Partners LLC;Tac Partners, Inc.;Arrowhead Investment Management LLC;Columbia Capital, L.P.]",298407,ICG Communications Inc,Telecommunications,True
"Icicle Seafoods, Inc.",4060626,"Icicle Seafoods, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Paine Schwartz Partners, LLC;AGR Partners, LLC;Stockwell Capital, LLC]",1207,Icicle Seafoods Inc,Food and Beverage,False
"ICM Asset Management, Inc.",110744,"ICM Asset Management, Inc.",Operating,Private Company,Never Sponsor-Backed,517303,ICM Asset Management Inc,Financial Services,True
"ICOA, Inc. (OTCEM:ICOA)",4154786,"ICOA, Inc.",Operating,Public Company,Prior Sponsor-Backed [Yorkville Advisors Global LP],58480,ICOA Inc,Software and Computer Services,True
"Iconix Brand Group, Inc. (NASDAQGM:ICON)",4257546,"Iconix Brand Group, Inc.",Operating,Private Company,Prior Sponsor-Backed [Huber Capital Management LLC;Conscious Equity Partners],12409,Iconix Brand Group Inc,Media,False
"iCrossing, Inc.",4153753,"iCrossing, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [RRE Ventures LLC;Sopris Venture Capital;Generation Partners;Glynn Capital Management, LLC;Oak Investment Partners;Sopris Capital Associates, LLC;Goldman Sachs Principal Strategies;Gold Hill Capital Management, LLC;StarVest Partners, L.P.]",2183403,Icrossing Inc,Media,True
"iCurrent, Inc.",4262525,"iCurrent, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [CrossLink Capital, Inc.]",1466069,Icurrent INC,Software and Computer Services,True
"IDACORP, Inc. (NYSE:IDA)",4056949,"IDACORP, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Fidelity Management & Research Company LLC;BlackRock, Inc. (NYSE:BLK) (NYSE : BLK)]",9401,IDACORP Inc,Utilities,False
"Idaho Pacific Holdings, Inc.",4093975,"Idaho Pacific Holdings, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Continental Grain Company Corp.;Arlon Group LLC;Arlon Capital Partners]

Prior Sponsor-Backed [Novacap Management Inc.]",599204,Idaho Pacific Holdings Inc,Food and Beverage,True
"Ideaforest.com, Inc.",4168637,"Ideaforest.com, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [ValueVision Interactive;AllegisCyber Capital;Rustic Canyon Partners;North Castle Partners, LLC;Saints Capital Services, LLC;Tarrant-Acon]",1471634,Ideaforestcom INC,Software and Computer Services,True
ideeli Inc.,4427043,ideeli Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Highbridge Principal Strategies Growth Equity;Legend Ventures, LLC;David Shen Ventures, LLC;Credit Suisse Private Equity, LLC;Kodiak Ventures Management Company, Inc;SWaN & Legend Venture Partners;Tribeca Venture Partners, LLC;The Cue Ball Group, LLC;Betaworks Ventures Management, LLC;StarVest Partners, L.P.;Pacific Management Partners LLC]",1190483,Ideeli INC,Personal and Household Goods,True
"IdenTrust, Inc.",4412423,"IdenTrust, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [JPMC Strategic Investments I Corporation;Parallax Capital Partners, LLC;North Cove Partners, LLC;StepStone Group Inc. (NASDAQGS:STEP) (NASDAQGS : STEP);Rho Capital Partners, Inc.;Enterprise Partners Venture Capital;Bank One Asset Management;Citigroup Private Equity LP;AAC Capital Partners;J.P. Morgan Partners, LLC;DB Capital Venture Partners]",2637821,IdenTrust Inc,Support Services (Industrial Goods and Services),True
"IDI Global, Inc. (OTCPK:IDIB.Q)",4152007,"IDI Global, Inc.",Operating,Private Company,Never Sponsor-Backed,50515,IDI Global Inc,Software and Computer Services,True
"iDNA, Inc. (OTCPK:NAK)",4406348,"iDNA, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [IDACORP Financial Services, Inc.]

Prior Sponsor-Backed [Silar Advisors, LP;Academy Capital Management;Lawndale Capital Management LLC]",54593,iDNA Inc,Media,True
"IEX Group, Inc.",4437403,"IEX Group, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Institutional Venture Partners;Sapphire Ventures, LLC;TDF Ventures LLC;Scoggin Capital Management LLC;Cleveland Capital Management, LLC;ICONIQ Capital, LLC;Belfer Management LLC;Spark Capital Partners, LLC;MassMutual Ventures LLC;Capital International;Franklin Resources, Inc. (NYSE:BEN) (NYSE : BEN);Caisse de dépôt et placement du Québec;Maverick Capital, Ltd.;Bain Capital Ventures,LP;Georgian;ICONIQ Growth]

Prior Sponsor-Backed [Pershing Square Capital Management, L.P.;Radian Capital LLC;Maverick Ventures]",584045,IEX Group Inc,Financial Services,True
"IF Bancorp, Inc. (NASDAQCM:IROQ)",4282019,"IF Bancorp, Inc.",Operating,Public Company,Pending or Current Sponsor-Backed [Stilwell Value LLC],86538,IF Bancorp Inc,Financial Services,True
"IGN Entertainment, Inc. (NASDAQGM:IGNX)",4150649,"IGN Entertainment, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [CrossLink Capital, Inc.;Whitman Capital, LLC;MicroCapital LLC;Lightspeed Ventures, LLC;Pivotal Asset Management, L.L.C.;J. & W. Seligman & Co. Incorporated;Palantir Capital, Inc.;Great Hill Partners, LP;Hearst Ventures;Walden Venture Capital;Generation Partners;Comdisco Ventures;Ridgemont Partners Management, LLC;Walden International;Information Technology Ventures, L.P. (ITV);WorldView Technology Partners, Inc.;Sand Hill Capital]",1070583,IGN Entertainment Inc,Media | Software and Computer Services,True
"Ikanos Communications, Inc. (NASDAQCM:IKAN)",4240168,"Ikanos Communications, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Sequoia Capital Operations LLC;Walden International;Narra Venture Capital;TianDi Growth Capital;Diker Management LLC;Ridgewood Capital Management, LLC;Greylock Partners;Intel Capital Corporation;Sumitomo Mitsui Trust Investment Co., Ltd.;83North Limited;Presidio STX, LLC;Panasonic Venture Group;Anthelion Capital Partners LLC;Artiman Management LLC;TL Ventures;Lighthouse Capital Partners;Tallwood Venture Capital;VentureTech Alliance LLC;Telesoft Partners;J.P. Morgan Partners, LLC;Copan]",40531,Ikanos Communications Inc,Technology Hardware and Equipment,True
"iLike, Inc.",4239775,"iLike, Inc.",Out of Business,Private Company,"Prior Sponsor-Backed [Juvo Capital, LLC;Khosla Ventures, LLC;New Enterprise Associates, Inc.;GTI Group LLC;MHS Capital Management, LLC]",1467819,Ilike INC,Software and Computer Services,True
"IMA Financial Group, Inc.",4112704,"IMA Financial Group, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [New Mountain Capital, L.L.C.;The Stephens Group, LLC;New Mountain Capital Group, L.P.]

Prior Sponsor-Backed [SkyKnight Capital, L.P.]",2070249,IMA Financial Group Inc,Insurance,True
"Image Entertainment, Inc. (OTCPK:DISK)",4121748,"Image Entertainment, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Bluegrass Growth Fund Partners, LLC;Whitebox Advisors LLC;Gruber & McBaine Capital Management, LLC;Levine Leichtman Capital Partners, LLC;JH Partners, LLC;HBK Investments L.P.;Cowen Investment Management LLC;Heights Capital Management, Inc.]",51389,Image Entertainment Inc,Media,True
Image Innovations Holdings Inc. (OTCPK:IMGV.Q),4151152,Image Innovations Holdings Inc.,Out of Business,Private Company,Never Sponsor-Backed,50443,Image Innovations Holdings Inc,Personal and Household Goods,True
"iMedia International, Inc. (OTCPK:IMED)",4133208,"iMedia International, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Augustine Fund, LP;Harman Stoller Capital Partners, LP;MicroCapital LLC;Centrecourt Asset Management LLC;Irvine Capital Management, LLC;PARADIGM Global Advisors, LLC;Andrew Carter Capital, Inc.]

Prior Sponsor-Backed [Midsummer Capital, LLC]",60175,iMedia International Inc,Media,True
"Impac Mortgage Holdings, Inc. (OTCPK:IMPM)",103609,"Impac Mortgage Holdings, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Talkot Capital, LLC]

Prior Sponsor-Backed [Greenbrook Capital Management, LLC]",14664,IMPAC Mortgage Holdings Inc,Financial Services,True
"Imperial Capital Bancorp, Inc. (OTCPK:IMP)",107432,"Imperial Capital Bancorp, Inc.",Out of Business,Private Company,Never Sponsor-Backed,58938,Imperial Capital Bancorp Inc,Banks,True
"Imperial Capital Group, Inc. (NYSE:ICG)",4244292,"Imperial Capital Group, Inc.",Operating,Private Company,Pending or Current Sponsor-Backed [Ares Capital Management LLC],95502,Imperial Capital Group Inc,Financial Services,True
"Imperial Credit Industries, Inc. (OTCPK:ICII)",102804,"Imperial Credit Industries, Inc.",Liquidating,Private Company,Never Sponsor-Backed,58531,Imperial Credit Industries Inc,Financial Services,True
"Imperva, Inc. (NASDAQGM:IMPV)",4867977,"Imperva, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Elliott Management Corporation;Thoma Bravo, L.P.;VR Adviser, LLC;JP Morgan Asset Management;J.P. Morgan Investment Management Inc.;Meritech Sub-Management Corporation;Gold Hill Capital Management, LLC;Aspect Ventures;Quiet Capital Management LLC;Accel Partners;Greylock Partners;USVP Management Company, LLC;NCT Ventures, LLC]",102603,Imperva Inc,Software and Computer Services,False
"Imprivata, Inc. (NYSE:IMPR)",4544939,"Imprivata, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Tamarack Advisers, LP;Cove Hill Partners, L.P.;RGM Capital, LLC;Wellington Management Company LLP;Thoma Bravo, L.P.]

Prior Sponsor-Backed [Highland Capital Partners LLC;Sapphire Ventures, LLC;Polaris Growth Management, L.L.C.;General Catalyst Group Management, LLC;Gold Hill Capital Management, LLC;Polaris Partners L.P.]",161969,Imprivata Inc,Software and Computer Services,True
"ImpulseSave, Inc.",4416135,"ImpulseSave, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Techstars Retail Accelerator;Techstars Central, LLC]",1267294,Impulsesave INC,Software and Computer Services,True
"InBankshares, Corp (OTCQX:INBC)",9829015,"InBankshares, Corp",Operating,Public Company,"Pending or Current Sponsor-Backed [Castle Creek Advisors VIII LLC;Brush Creek Partners, LP]",2346463,InBankshares Corp,Banks,True
"Incentive Targeting, Inc.",4344234,"Incentive Targeting, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [LaunchCapital LLC;Walnut Venture Associates;Hub Angels Investment Group, LLC;Boston Harbor Angels;MassVentures;Granite State Angels;River Valley Investors;Boynton Angels, Inc.;The Walnut Group;Launchpad Venture Group, LLC;North Country Angels;Northeast Angels Investment Group;Race Point Capital Group LLC]",1061573,Incentive Targeting INC,Support Services (Industrial Goods and Services),True
Inceptor Inc.,4313903,Inceptor Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Wexford Capital LP;SI Ventures;MassVentures;Crossbow Ventures Inc.;Berkus Technology Ventures, LLC]",1061728,Inceptor Inc,Software and Computer Services,True
"Incomnet, Inc. (OTCPK:ICNT)",4057193,"Incomnet, Inc.",Out of Business,Private Company,Never Sponsor-Backed,57623,Incomnet Inc,Financial Services,True
"Indeck Energy Services, Inc.",4066546,"Indeck Energy Services, Inc.",Operating,Private Company,Never Sponsor-Backed,70085,Indeck Energy Services Inc,Utilities,False
"Indeed, Inc.",4336551,"Indeed, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Union Square Ventures, LLC]",124832,Indeed Inc,Support Services (Industrial Goods and Services) | Software and Computer Services,False
"Independence Realty Trust, Inc. (NYSE:IRT)",4235858,"Independence Realty Trust, Inc.",Operating,Public Company,Never Sponsor-Backed,191044,Independence Realty Trust Inc,Financial Services,False
"Independent BancShares, Inc. (OTCPK:IBFL)",1022650,"Independent BancShares, Inc.",Out of Business,Public Company,Never Sponsor-Backed,55059,Independent Bancshares Inc,Banks,True
Independent Bank Corp. (NASDAQGS:INDB),100325,Independent Bank Corp.,Operating,Public Company,"Pending or Current Sponsor-Backed [PL Capital Advisors, LLC]",14227,Independent Bank Corp,Financial Services,True
"Independent Bank Group, Inc. (NASDAQGM:IBTX)",4087983,"Independent Bank Group, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Castle Creek Advisors VIII LLC;T. Rowe Price Associates, Inc.;Stone Point Capital LLC;Lee Equity Partners, LLC]",124789,Independent Bank Group Inc,Banks,False
Indiana Business Bancorp (OTCPK:IBBI),4140656,Indiana Business Bancorp,Acquired,Public Company,"Prior Sponsor-Backed [Waveland Investments, LLC]",91608,Indiana Business Bancorp,Financial Services,True
Indiana Business Bank,4098830,Indiana Business Bank,Acquired,Private Company,"Prior Sponsor-Backed [Waveland Investments, LLC]",1256264,Indiana Business Bank,Financial Services,True
Indiana Community Bancorp (NASDAQGM:INCB),101857,Indiana Community Bancorp,Acquired,Private Company,"Prior Sponsor-Backed [Stieven Capital Advisors, L.P.;Maltese Capital Management, LLC;Otter Creek Management, Inc.;PL Capital, LLC]",43864,Indiana Community Bancorp,Banks | Financial Services,True
"Indiegogo, Inc.",4540152,"Indiegogo, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Institutional Venture Partners;MHS Capital Management, LLC;Version One Ventures;G2T3V, LLC;500 Global;Kleiner Perkins Caufield & Byers;SeventySix Capital Venture Management, LLC;Ruvento Ventures Pte. Ltd.;Draper Associates, L.P.;Millennials Venture Capital ASI S.A.;BOLDstart Ventures Management LLC;Bling Capital LLC;Insight Venture Management, LLC;Ridge Ventures;ff Venture Capital, LLC;Versatile Venture Capital;Khosla Ventures, LLC;MHS Capital Partners Ltd.;Proton Enterprises;Compound;Webb Investment Network;Bee Partners, LLC;Flight Ventures]

Prior Sponsor-Backed [Mosaic Ventures;Runway Venture Partners;Spider Capital Partners Management, LLC]",129536,Indiegogo Inc,Software and Computer Services,False
"Industrial Energy Applications, Inc.",4182351,"Industrial Energy Applications, Inc.",Operating,Private Company,Never Sponsor-Backed,1966342,Industrial Energy Applications INC,Utilities,True
"IndyMac Bancorp, Inc. (OTCPK:IMB)",4055832,"IndyMac Bancorp, Inc.",Out of Business,Private Company,Never Sponsor-Backed,6091,IndyMac Bancorp Inc,Banks | Financial Services,False
"Infochimps, Inc.",4403331,"Infochimps, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [MFI Capital LLC]

Prior Sponsor-Backed [Anduin Ventures;Stage One Capital;Karmel Capital Management LLC;RPM Ventures;Draper Associates, L.P.;IllinoisVENTURES, LLC;Mercury Venture Partners;ff Venture Capital, LLC;Dundee Venture Capital]",1463234,Infochimps INC,Software and Computer Services,True
"InfoLogix, Inc. (OTCPK:IFLG)",4277354,"InfoLogix, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [CIP Capital Inc.;Hercules Capital, Inc. (NYSE:HTGC) (NYSE : HTGC);The Musser Group, LLC;Peddle Partners LLC;Nite Capital Management, LLC;DellaCamera Capital Management, LLC;Heller Capital Partners]",49589,InfoLogix Inc,Software and Computer Services,True
"Information Services Group, Inc. (NASDAQGM:III)",4305772,"Information Services Group, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [LLR Partners, Inc.;Groupe Chevrillon;Carlson Capital, L.P.]

Prior Sponsor-Backed [Discovery Group Holding Company, LLC]",41857,Information Services Group Inc,Software and Computer Services,True
Infrastructure Materials Corp. (OTCPK:IFAM),4351229,Infrastructure Materials Corp.,Operating,Private Company,"Pending or Current Sponsor-Backed [Ironshore Partners]

Prior Sponsor-Backed [Pinetree Capital Ltd. (TSX:PNP) (TSX : PNP);AIG Global Investment Corp. (United States);Capital One Asset Management Ltd.]",56371,Infrastructure Materials Corp,Financial Services,True
"InfrastruX Group, Inc.",4101427,"InfrastruX Group, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Tenaska Capital Management, LLC;Monroe Capital LLC]",1406489,Infrastrux Group INC,Automobiles and Parts,True
"Ingenio, LLC",4188085,"Ingenio, LLC",Operating,Private Company,"Pending or Current Sponsor-Backed [Alpine Management Services III, LLC]

Prior Sponsor-Backed [Cercano Management;Tregaron Capital Company;Tribeca Venture Partners, LLC;Threshold Ventures Management Company, LLC;Attractor Investment Management Inc.;Saints Capital Services, LLC;Balderton Capital (UK) LLP;Gotham Ventures;Twelve Entrepreneuring Inc.;Pyramid Technology Ventures;Impact Venture Partners;Pivotal Asset Management, L.L.C.;Amerindo Investment Advisors, Inc. Private Equity Group;Benchmark;Lake Street Capital, LLC;Integral Capital Partners;The Carlyle Group Inc. (NASDAQGS:CG) (NASDAQGS : CG);Angel Investors L.P.;Inktomi Corporation Investments;Catamount Ventures Management LLC;Innovation Investments Pty Limited]",540543,Ingenio LLC,Software and Computer Services,True
"Ingo Money, Inc.",4414606,"Ingo Money, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Ribbit Management Company, LLC;Camden Partners Holdings, LLC;Matrix Management Corporation;CNF Investments LLC;Kickstart Seed Fund;Rodgers Capital Group;Spring Capital Partners, L.P.;Clark Enterprises, Inc.;MissionOG Capital, LLC]

Prior Sponsor-Backed [Runway Venture Partners]",1260679,Ingo Money Inc,Software and Computer Services,True
"Innovative Card Technologies, Inc. (OTCPK:INVC)",4095789,"Innovative Card Technologies, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Bristol Capital Advisors LLC;Emerson Partners]

Prior Sponsor-Backed [Alpha Capital Anstalt;JMG Capital Management LLC;JMB Capital Partners, L.P.;Indosuez Capital;Gemini Investment Strategies, LLC;C.E. Unterberg Towbin Advisors, LLC;Downsview Capital, Inc.;Scoggin Capital Management LLC;Pacific Assets Management LLC;Apex Venture Partners]",51627,Innovative Card Technologies Inc,Electronic and Electrical Equipment,True
Innovative Gaming Corp of America (OTCPK:IGCA),4088641,Innovative Gaming Corp of America,Out of Business,Private Company,Never Sponsor-Backed,51026,Innovative Gaming Corp Of America,Gambling,True
"Innovative Industrial Properties, Inc. (NYSE:IIPR)",4835257,"Innovative Industrial Properties, Inc.",Operating,Public Company,Never Sponsor-Backed,347246,Innovative Industrial Properties Inc,Financial Services,True
"Innovative Payment Solutions, Inc. (OTCQB:IPSI)",4973340,"Innovative Payment Solutions, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Hudson Bay Capital Management LP;Vista Capital Investments, LLC;Bellridge Capital;Anson Group;Pinz Capital Management, LP;JSJ Investments Inc.;Mercer Street Capital Partners, LLC]

Prior Sponsor-Backed [Anson Funds Management LP;Iroquois Capital Management, LLC;Cavalry Fund I Management, LLC]",2374448,Innovative Payment Solutions Inc,Software and Computer Services,True
"Innovest Systems, LLC",4587307,"Innovest Systems, LLC",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Bluff Point Associates Corp.],275832,Innovest Systems LLC,Software and Computer Services,True
InnSuites Hospitality Trust (NYSEAM:IHT),103014,InnSuites Hospitality Trust,Operating,Public Company,Never Sponsor-Backed,46517,InnSuites Hospitality Trust,Travel and Leisure,True
"Inovalon Holdings, Inc. (NASDAQGM:INOV)",4574656,"Inovalon Holdings, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Nordic Capital;Insight Venture Management, LLC;22C Capital LLC]

Prior Sponsor-Backed [Black Creek Investment Management Inc.;The Vanguard Group, Inc.;BlackRock, Inc. (NYSE:BLK) (NYSE : BLK)]",170889,Inovalon Holdings Inc,Software and Computer Services | Financial Services,False
